nom,prenom,age
Areola,Alphonse ,"
									27 févr. 1993																			(25)
																	"
Weah,Timothy ,"
									22 févr. 2000																			(18)
																	"
Choupo-Moting,Eric Maxim ,"
									23 mars 1989																			(29)
																	"
Cavani,Edinson ,"
									14 févr. 1987																			(31)
																	"
Diaby,Moussa ,"
									7 juil. 1999																			(19)
																	"
Di María,Ángel ,"
									14 févr. 1988																			(30)
																	"
Mbappé,Kylian ,"
									20 déc. 1998																			(19)
																	"
Jesé,,"
									26 févr. 1993																			(25)
																	"
Neymar,,"
									5 févr. 1992																			(26)
																	"
Adli,Yacine ,"
									29 juil. 2000																			(18)
																	"
Draxler,Julian ,"
									20 sept. 1993																			(25)
																	"
Bernede,Antoine ,"
									26 mai 1999																			(19)
																	"
Nkunku,Christopher ,"
									14 nov. 1997																			(20)
																	"
Rabiot,Adrien ,"
									3 avr. 1995																			(23)
																	"
Verratti,Marco ,"
									5 nov. 1992																			(25)
																	"
Diarra,Lassana ,"
									10 mars 1985																			(33)
																	"
Dagba,Colin ,"
									6 sept. 1998																			(20)
																	"
Alves,Dani ,"
									6 mai 1983																			(35)
																	"
Meunier,Thomas ,"
									12 sept. 1991																			(27)
																	"
N'Soki,Stanley ,"
									9 avr. 1999																			(19)
																	"
Bernat,Juan ,"
									1 mars 1993																			(25)
																	"
Kurzawa,Layvin ,"
									4 sept. 1992																			(26)
																	"
Silva,Thiago ,"
									22 sept. 1984																			(34)
																	"
Kehrer,Thilo ,"
									21 sept. 1996																			(22)
																	"
Kimpembe,Presnel ,"
									13 août 1995																			(23)
																	"
Marquinhos,,"
									14 mai 1994																			(24)
																	"
Cibois,Sébastien ,"
									2 mars 1998																			(20)
																	"
Buffon,Gianluigi ,"
									28 janv. 1978																			(40)
																	"
